Registry,Assignment,Organization Name
MA-L,000000,"XEROX CORPORATION"
MA-L,001A11,"Google, Inc."
MA-L,001CB3,"Apple, Inc."
MA-L,002274,"Apple, Inc."
MA-L,003EE1,"Apple, Inc."
MA-L,0050F2,"Microsoft Corporation"
MA-L,001D7E,"Cisco-Linksys"
MA-L,00216B,"Cisco Systems"
MA-L,001E68,"Cisco Systems"
MA-L,0023EB,"Cisco Systems"
MA-L,0025B5,"Cisco Systems"
MA-L,002702,"Cisco Systems"
MA-L,18E728,"Apple, Inc."
MA-L,3C0754,"Apple, Inc."
MA-L,3C2EFF,"Apple, Inc."
MA-L,40D32D,"Apple, Inc."
MA-L,4C3C16,"Apple, Inc."
MA-L,606BBD,"Apple, Inc."
MA-L,7C11BE,"Apple, Inc."
MA-L,8C2937,"Apple, Inc."
MA-L,8C7B9D,"Apple, Inc."
MA-L,AC3C0B,"Apple, Inc."
MA-L,B4F0AB,"Apple, Inc."
MA-L,C89712,"Apple, Inc."
MA-L,D0C5F3,"Apple, Inc."
MA-L,E0B9BA,"Apple, Inc."
MA-L,EC3586,"Apple, Inc."
MA-L,F0DBF8,"Apple, Inc."
MA-L,F40F24,"Apple, Inc."
MA-L,001788,"Apple, Inc."
MA-L,0017F2,"Apple, Inc."
MA-L,001EC2,"Apple, Inc."
MA-L,00236C,"Apple, Inc."
MA-L,0025BC,"Apple, Inc."
MA-L,002608,"Apple, Inc."
MA-L,5CF938,"Google, Inc."
MA-L,94EB2C,"Google, Inc."
MA-L,A47733,"Google, Inc."
MA-L,F4F5E8,"Google, Inc."
MA-L,48D705,"Amazon Technologies Inc."
MA-L,68370B,"Amazon Technologies Inc."
MA-L,74C246,"Amazon Technologies Inc."
MA-L,A002DC,"Amazon Technologies Inc."
MA-L,B47C9C,"Amazon Technologies Inc."
MA-L,F0272D,"Amazon Technologies Inc."
MA-L,40B4CD,"Philips Lighting BV"
MA-L,001F80,"Philips"
MA-L,EC1F72,"TP-Link Technologies Co."
MA-L,50C7BF,"TP-Link Technologies Co."
MA-L,8863DF,"TP-Link Technologies Co."
MA-L,C006C3,"TP-Link Technologies Co."
MA-L,E8DE27,"TP-Link Technologies Co."
MA-L,F4F26D,"TP-Link Technologies Co."
MA-L,D46E5C,"TP-Link Technologies Co."
MA-L,001E8C,"TP-Link Technologies Co."
MA-L,A0F3C1,"TP-Link Technologies Co."
MA-L,000C42,"Routerboard"
MA-L,2C3A28,"NETGEAR"
MA-L,30469A,"NETGEAR"
MA-L,44944E,"NETGEAR"
MA-L,4C60DE,"NETGEAR"
MA-L,6CB0CE,"NETGEAR"
MA-L,74441F,"NETGEAR"
MA-L,9C3DCF,"NETGEAR"
MA-L,A040A0,"NETGEAR"
MA-L,C03F0E,"NETGEAR"
MA-L,001E2A,"NETGEAR"
MA-L,286ED4,"Ubiquiti Networks Inc."
MA-L,44D9E7,"Ubiquiti Networks Inc."
MA-L,60A474,"Ubiquiti Networks Inc."
MA-L,68D79A,"Ubiquiti Networks Inc."
MA-L,788A20,"Ubiquiti Networks Inc."
MA-L,802AA8,"Ubiquiti Networks Inc."
MA-L,B4FBE4,"Ubiquiti Networks Inc."
MA-L,DC9FDB,"Ubiquiti Networks Inc."
MA-L,E09F2A,"Ubiquiti Networks Inc."
MA-L,F09FC2,"Ubiquiti Networks Inc."
MA-L,FCECDA,"Ubiquiti Networks Inc."
MA-L,0CB8AD,"Nest Labs Inc."
MA-L,18B430,"Nest Labs Inc."
MA-L,641666,"Nest Labs Inc."
MA-L,843835,"Nest Labs Inc."
MA-L,B4B019,"Nest Labs Inc."
MA-L,D0154A,"Nest Labs Inc."
MA-L,181E78,"Ring Inc."
MA-L,2C2285,"Samsung Electronics"
MA-L,5403A1,"Samsung Electronics"
MA-L,8C71F8,"Samsung Electronics"
MA-L,A8F274,"Samsung Electronics"
MA-L,D487D8,"Samsung Electronics"
MA-L,E8039A,"Samsung Electronics"
MA-L,F49F54,"Samsung Electronics"
MA-L,001316,"Samsung Electronics"
MA-L,001599,"Samsung Electronics"
MA-L,040E3C,"Samsung Electronics"
MA-L,00D021,"Raspberry Pi Trading Ltd"
MA-L,2CCF67,"Raspberry Pi Trading Ltd"
